ponto;intact_rock_strength;weathering;discontinuity_spacing;discontinuity_persistence;discontinuity_aperture;presence_of_water;rmr_class
1510;5;5;3;3;5;1;class_II
1511;5;5;3;3;5;1;class_II
1512;5;5;5;4;3;1;class_I
1513;0;1;5;1;1;1;class_III
1514;0;1;5;1;1;1;class_III
1515;0;1;3;4;2;1;class_III
1516;0;1;4;4;2;1;class_III
1517;0;2;4;4;2;1;class_III
1518;0;1;4;5;3;1;class_II
1519;0;1;4;4;2;1;class_III
1520;5;5;4;3;2;1;class_II
1521;5;5;4;3;2;1;class_II
1522;5;5;4;3;2;1;class_II
1523;5;5;4;3;2;1;class_II
1524;1;1;3;2;3;1;class_III
1525;0;1;5;1;1;1;class_III
1526;0;1;5;1;1;1;class_III
1527;0;1;5;1;1;1;class_III
1528;0;1;5;1;1;1;class_III
1529;0;1;3;4;2;1;class_III
1530;0;1;4;2;2;1;class_III
1531;0;1;5;4;2;1;class_III
1532;0;1;5;1;2;1;class_III
1533;0;1;3;3;3;1;class_III
1534;0;1;5;4;2;1;class_III
1535;0;1;4;3;2;1;class_III
1536;1;2;4;3;5;1;class_II
1537;1;2;4;2;2;1;class_III
1538;1;2;5;2;1;1;class_II
1539;1;2;4;2;2;1;class_III
1540;1;2;2;1;5;1;class_III
1541;1;2;5;4;3;1;class_II
1542;1;2;5;1;2;1;class_III
1543;1;2;5;3;2;1;class_III
1544;1;2;5;3;5;1;class_II
1545;1;2;5;3;2;1;class_III
1546;1;2;3;4;5;1;class_II
1547;1;2;2;5;1;1;class_IV
1548;1;2;3;3;2;1;class_III
1549;1;2;3;4;2;1;class_III
1550;1;2;5;3;1;1;class_II
1551;3;3;2;3;1;1;class_III
1552;3;3;3;3;1;1;class_III
1553;3;3;4;4;1;1;class_III
1554;3;3;3;3;1;1;class_III
1555;3;3;4;3;2;1;class_III
1556;3;3;4;1;1;1;class_III
1557;3;3;4;1;1;1;class_III
1558;3;3;4;4;3;1;class_II
1559;2;2;5;1;1;1;class_III
1560;2;2;4;2;1;1;class_III
1561;2;2;3;2;1;1;class_III
1562;2;2;2;3;1;1;class_III
1563;2;2;3;1;2;1;class_III
1564;2;2;4;3;1;1;class_III
1565;2;2;2;5;2;1;class_III
1566;0;1;3;5;4;1;class_III
1567;0;1;2;1;4;1;class_III
1568;0;1;4;3;2;1;class_III
1569;0;1;4;3;4;1;class_III
1570;0;1;4;3;2;1;class_III
1571;0;1;4;4;2;1;class_III
1572;0;1;4;3;2;1;class_III
1573;1;2;5;4;4;1;class_II
1574;1;2;4;5;2;1;class_II
1575;1;2;3;3;1;1;class_III
1576;1;2;5;4;2;1;class_II
1577;1;2;4;5;3;1;class_II
1578;0;1;5;2;1;1;class_III
1579;0;1;5;4;1;1;class_III
