ponto;intact_rock_strength;weathering;discontinuity_spacing;discontinuity_persistence;discontinuity_aperture;presence_of_water
1510;5;5;3;3;5;1
1511;5;5;3;3;5;1
1512;5;5;5;4;3;1
1513;0;1;5;1;1;1
1514;0;1;5;1;1;1
1515;0;1;3;4;2;1
1516;0;1;4;4;2;1
1517;0;2;4;4;2;1
1518;0;1;4;5;3;1
1519;0;1;4;4;2;1
1520;5;5;4;3;2;1
1521;5;5;4;3;2;1
1522;5;5;4;3;2;1
1523;5;5;4;3;2;1
1524;1;1;3;2;3;1
1525;0;1;5;1;1;1
1526;0;1;5;1;1;1
1527;0;1;5;1;1;1
1528;0;1;5;1;1;1
1529;0;1;3;4;2;1
1530;0;1;4;2;2;1
1531;0;1;5;4;2;1
1532;0;1;5;1;2;1
1533;0;1;3;3;3;1
1534;0;1;5;4;2;1
1535;0;1;4;3;2;1
1536;1;2;4;3;5;1
1537;1;2;4;2;2;1
1538;1;2;5;2;1;1
1539;1;2;4;2;2;1
1540;1;2;2;1;5;1
1541;1;2;5;4;3;1
1542;1;2;5;1;2;1
1543;1;2;5;3;2;1
1544;1;2;5;3;5;1
1545;1;2;5;3;2;1
1546;1;2;3;4;5;1
1547;1;2;2;5;1;1
1548;1;2;3;3;2;1
1549;1;2;3;4;2;1
1550;1;2;5;3;1;1
1551;3;3;2;3;1;1
1552;3;3;3;3;1;1
1553;3;3;4;4;1;1
1554;3;3;3;3;1;1
1555;3;3;4;3;2;1
1556;3;3;4;1;1;1
1557;3;3;4;1;1;1
1558;3;3;4;4;3;1
1559;2;2;5;1;1;1
1560;2;2;4;2;1;1
1561;2;2;3;2;1;1
1562;2;2;2;3;1;1
1563;2;2;3;1;2;1
1564;2;2;4;3;1;1
1565;2;2;2;5;2;1
1566;0;1;3;5;4;1
1567;0;1;2;1;4;1
1568;0;1;4;3;2;1
1569;0;1;4;3;4;1
1570;0;1;4;3;2;1
1571;0;1;4;4;2;1
1572;0;1;4;3;2;1
1573;1;2;5;4;4;1
1574;1;2;4;5;2;1
1575;1;2;3;3;1;1
1576;1;2;5;4;2;1
1577;1;2;4;5;3;1
1578;0;1;5;2;1;1
1579;0;1;5;4;1;1
1580;0;1;3;3;2;1
1581;0;1;3;3;2;1
1582;0;1;3;3;2;1
1583;0;1;5;1;1;1
1584;0;1;4;3;1;1
1585;0;1;5;1;1;1
1586;0;1;5;1;2;1
1587;0;1;3;4;5;1
1588;0;1;2;2;5;1
1589;0;1;3;5;5;1
1590;0;1;3;3;2;1
1591;0;1;3;4;2;1
1592;0;1;4;4;2;1
1593;0;1;4;4;2;1
1594;0;1;4;4;2;1
1595;0;1;4;3;2;1
1596;0;1;4;3;2;1
1597;0;1;4;3;2;1
1598;0;1;4;3;2;1
1599;0;1;4;3;2;1
1600;0;1;4;3;2;1
1601;0;1;2;1;2;1
1602;0;1;2;1;3;1
1603;0;1;3;1;3;1
1604;0;1;4;3;2;1
1605;0;1;4;4;2;1
1606;0;1;2;1;3;1
1607;0;1;2;1;3;1
1608;0;1;2;1;3;1
1609;0;1;2;1;3;1
1610;0;1;4;4;2;1
1611;0;1;3;3;2;1
1612;0;1;4;4;2;1
1613;0;1;4;3;2;1
1614;0;1;4;3;2;1
1615;0;1;5;2;1;1
1616;0;1;4;3;2;1
1617;0;1;4;5;4;1
1618;0;1;4;5;4;1
1619;0;1;4;3;2;1
1620;0;1;4;4;3;1
1621;0;1;4;4;3;1
1622;2;4;2;1;2;1
1623;2;4;2;1;2;1
1624;2;4;2;3;3;1
1625;2;4;2;3;3;1
1626;2;4;2;1;3;1
1627;2;4;2;1;3;1
1628;3;4;3;1;3;1
1629;3;4;3;1;3;1
1630;3;4;3;3;1;1
1631;3;4;3;3;1;1
1632;3;4;3;1;2;1
1633;3;4;3;1;2;1
1634;2;3;1;1;3;1
1635;2;3;1;1;3;1
1636;2;3;4;1;3;1
1637;2;3;4;1;3;1
1638;2;3;1;1;1;1
1639;3;4;1;1;2;1
1640;3;4;1;1;2;1
1641;3;4;4;1;1;1
1642;1;3;2;1;5;1
1643;1;3;2;1;5;1
1644;1;3;3;1;5;1
1645;1;3;3;1;5;1
1646;1;3;4;3;5;1
1647;1;3;4;3;5;1
1648;1;3;2;1;3;1
1649;1;3;2;1;3;1
1650;1;3;3;1;5;1
1651;1;3;3;1;5;1
1652;1;3;4;3;5;1
1653;1;3;4;4;5;1
1654;5;5;2;1;5;1
1655;5;5;2;1;5;1
1656;5;5;2;1;3;1
1657;5;5;2;1;3;1
1658;5;5;1;3;3;1
1659;5;5;1;3;3;1
1660;5;5;3;1;3;1
1661;5;5;3;1;3;1
1662;5;5;2;1;3;1
1663;5;5;2;1;3;1
1664;5;5;3;3;2;1
1665;5;5;3;3;2;1
1666;2;4;3;1;3;1
1667;2;4;3;1;3;1
1670;2;4;3;1;2;1
1671;2;4;3;1;2;1
1672;2;4;4;3;3;1
1673;2;4;4;3;3;1
1683;3;3;3;1;3;1
1684;3;3;3;1;3;1
1685;3;3;4;1;5;1
1686;3;3;4;1;5;1
1687;3;3;3;3;5;1
1688;3;3;3;3;5;1
1689;3;3;3;1;5;1
1690;3;3;3;1;5;1
1691;3;3;2;2;5;1
1692;3;3;2;2;5;1
1693;3;3;4;3;5;1
1694;3;3;4;3;5;1
1695;3;3;3;1;3;1
1696;3;3;3;1;3;1
1698;3;3;4;3;2;1
1699;3;3;4;3;2;1
1700;3;3;3;1;3;1
1701;3;3;3;1;3;1
1702;3;3;4;2;5;1
1703;3;3;4;2;5;1
1704;3;3;3;2;3;1
1705;3;3;3;2;3;1
1706;3;3;3;1;5;1
1707;3;3;3;1;5;1
1708;3;3;3;1;3;1
1709;3;3;3;1;3;1
1710;3;3;4;3;3;1
1711;3;3;4;3;3;1
1712;4;5;3;1;5;1
1713;4;5;3;1;5;1
1714;4;5;4;1;3;1
1715;4;5;4;1;3;1
1716;4;5;4;3;1;1
1717;4;5;4;3;1;1
1718;3;4;4;1;5;1
1719;3;4;4;1;5;1
1720;3;4;3;1;3;1
1721;3;4;3;1;3;1
1722;3;4;5;3;5;1
1723;3;4;5;3;5;1
1724;3;4;4;1;5;1
1725;3;4;4;1;5;1
1726;3;4;4;1;2;1
1727;3;4;4;1;2;1
1728;3;4;5;2;1;1
1729;3;4;5;2;1;1
1730;3;4;5;3;1;1
1731;3;4;5;3;1;1
1734;3;3;2;1;3;1
1735;3;3;2;1;3;1
1736;3;3;3;1;2;1
1737;3;3;3;1;2;1
1738;3;3;3;3;3;1
1739;3;3;3;3;3;1
1740;3;4;3;1;5;1
1741;3;4;3;1;5;1
1742;3;4;3;1;5;1
1743;3;4;3;1;5;1
1744;3;4;4;3;5;1
1745;3;4;4;3;5;1
1746;3;4;3;1;2;1
1747;3;4;3;1;2;1
1748;3;4;3;1;3;1
1749;3;4;3;1;3;1
1750;3;4;3;4;3;1
1751;3;4;3;4;3;1
1752;2;3;3;1;2;1
1753;2;3;3;1;2;1
1754;2;3;2;1;3;1
1755;2;3;2;1;3;1
1756;3;4;2;1;3;1
1757;3;4;2;1;3;1
1758;3;4;3;1;3;1
1759;3;4;3;1;3;1
1760;3;4;2;1;2;1
1761;3;4;2;1;2;1
1762;3;4;3;1;3;1
1763;3;4;3;1;3;1
1764;3;4;2;3;2;1
1765;3;4;2;3;2;1
1766;3;4;2;1;1;1
1767;3;4;2;1;1;1
1768;3;4;3;1;3;1
1769;3;4;3;1;3;1
1770;3;4;2;4;3;1
1771;3;4;2;4;3;1
1772;4;5;4;1;5;1
1773;4;5;4;1;5;1
1774;4;5;3;1;2;1
1775;4;5;3;1;2;1
1776;4;5;3;3;1;1
1777;4;5;3;3;1;1
1778;2;3;3;1;3;1
1779;2;3;3;1;3;1
1780;2;3;4;1;1;1
1781;2;3;4;1;1;1
1782;4;5;4;1;5;1
1783;4;5;4;1;5;1
1784;4;5;3;1;3;1
1785;4;5;3;1;3;1
1786;4;5;4;3;3;1
1787;4;5;4;3;3;1
1788;3;4;4;1;5;1
1789;3;4;4;1;5;1
1790;3;4;4;1;3;1
1791;3;4;4;1;3;1
1792;3;4;4;3;1;1
1793;3;4;4;3;1;1
1794;3;4;2;1;3;1
1795;3;4;2;1;3;1
1796;3;4;3;1;2;1
1797;3;4;3;1;2;1
1798;3;4;3;3;5;1
1799;3;4;3;3;5;1
1800;3;4;2;1;3;1
1801;3;4;2;1;3;1
1802;3;4;3;1;3;1
1803;3;4;3;1;3;1
1804;2;4;2;1;2;1
1805;2;4;2;1;2;1
1806;2;4;4;1;5;1
1807;2;4;4;1;5;1
1808;2;4;3;3;5;1
